District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Donja Dubrava,36,36,36,36,36,36
Donji Grad,100,100,100,100,100,100
Gornja Dubrava,15,15,15,15,15,15
Gornji Grad–Medveščak,35,35,35,35,35,35
Maksimir,11,11,11,11,11,11
Novi Zagreb – istok,53,53,53,53,53,53
Novi Zagreb – zapad,48,48,48,48,48,48
Peščenica – Žitnjak,16,16,16,16,16,16
Podsljeme,13,13,13,13,13,13
Podsused – Vrapče,12,12,12,12,12,12
Sesvete,10,10,10,10,10,10
Stenjevec,54,54,54,54,54,54
Trešnjevka – jug,62,62,62,62,62,62
Trešnjevka – sjever,47,47,47,47,47,47
Trnje,70,70,70,70,70,70
Črnomerec,4,4,4,4,4,4
