District,Venue Category,Size,Population,Density
Črnomerec,5,24,38546,1606
Donja Dubrava,28,11,36363,3306
Donji grad,100,3,37024,12341
Gornja Dubrava,6,40,61841,1546
Gornji Grad–Medveščak,14,10,30962,3096
Maksimir,7,14,48902,3493
Novi Zagreb–istok,22,17,59055,3474
Novi Zagreb–zapad,26,63,58103,922
Peščenica–Žitnjak,7,35,56487,1614
Podsljeme,4,60,19165,319
Podsused–Vrapče,9,36,45759,1271
Sesvete,12,165,70009,424
Stenjevec,13,12,5139,4283
Trešnjevka–jug,48,10,66674,6667
Trešnjevka–sjever,33,6,55425,9238
Trnje,47,7,42282,604
