,District,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Donja Dubrava,Café,Pizza Place,Bar,Supermarket,Light Rail Station,Gym / Fitness Center,Coffee Shop,Grocery Store,Pharmacy,Market
1,Donji Grad,Café,Plaza,Bar,Restaurant,Dessert Shop,Hotel,Hostel,Theater,Italian Restaurant,Mediterranean Restaurant
2,Gornja Dubrava,Grocery Store,Pharmacy,Bar,Supermarket,Coffee Shop,Clothing Store,Bakery,Women's Store,Café,Shopping Mall
3,Gornji Grad–Medveščak,Dessert Shop,Café,Bar,Supermarket,Pizza Place,Nightclub,Lounge,Pub,Chinese Restaurant,Multiplex
4,Maksimir,Café,Lake,Supermarket,Grocery Store,Soccer Field,Restaurant,Bus Station,Farmers Market,Electronics Store,Eastern European Restaurant
5,Novi Zagreb – istok,Café,Pizza Place,Supermarket,BBQ Joint,Pet Store,Smoke Shop,Bakery,Grocery Store,Bar,Italian Restaurant
6,Novi Zagreb – zapad,Café,Grocery Store,Bakery,Clothing Store,Liquor Store,Pizza Place,Dessert Shop,Bus Station,Mobile Phone Shop,Bar
7,Peščenica – Žitnjak,Fast Food Restaurant,Hardware Store,Bar,Multiplex,Chinese Restaurant,Drugstore,Café,Bus Station,Food,Shopping Mall
8,Podsljeme,Restaurant,Light Rail Station,Café,Market,Fruit & Vegetable Store,Grocery Store,Travel & Transport,Trail,Mountain,Electronics Store
9,Podsused – Vrapče,Supermarket,Chinese Restaurant,Restaurant,Café,Soccer Field,Sports Club,Bar,BBQ Joint,Park,Pizza Place
10,Sesvete,Café,Supermarket,BBQ Joint,Cosmetics Shop,Pizza Place,Grocery Store,Eastern European Restaurant,Restaurant,Dog Run,Electronics Store
11,Stenjevec,Clothing Store,Café,Bar,Shoe Store,Supermarket,Electronics Store,Restaurant,Auto Dealership,Hotel,Pub
12,Trešnjevka – jug,Café,Bar,Eastern European Restaurant,Grocery Store,Pizza Place,BBQ Joint,Middle Eastern Restaurant,Pub,Hotel,Pharmacy
13,Trešnjevka – sjever,Supermarket,Bar,Restaurant,Café,Grocery Store,Fast Food Restaurant,BBQ Joint,Gym,Pharmacy,Bakery
14,Trnje,Café,Bar,Restaurant,Gym,Nightclub,BBQ Joint,Plaza,Rock Club,Grocery Store,Concert Hall
15,Črnomerec,BBQ Joint,Bistro,Sake Bar,Bed & Breakfast,Food,Field,Fast Food Restaurant,Farmers Market,Electronics Store,Yoga Studio
