,District,size,Population,Density
0,Donji grad,3,37024,12341
1,Gornji Grad–Medveščak,10,30962,3096
2,Trnje,7,42282,604
3,Maksimir,14,48902,3493
4,Peščenica–Žitnjak,35,56487,1614
5,Novi Zagreb–istok,17,59055,3474
6,Novi Zagreb–zapad,63,58103,922
7,Trešnjevka–sjever,6,55425,9238
8,Trešnjevka–jug,10,66674,6667
9,Črnomerec,24,38546,1606
10,Gornja Dubrava,40,61841,1546
11,Donja Dubrava,11,36363,3306
12,Stenjevec,12,5139,4283
13,Podsused–Vrapče,36,45759,1271
14,Podsljeme,60,19165,319
15,Sesvete,165,70009,424
16,Brezovica,127,1203,95
